cantonese,english,greedy,beam
呢套電影啱小朋友睇。,This movie is suitable for children.,Бұл кинолық киноның тұрады.,映画を観るのは、ほぼ子供たち。
套戲同我想像中爭好遠。,The film was not what I had thought it was.,Бұл қазір мен қаңтар мен жарыққа қабырға айналады.,"Содан соң, қасиеттер мен қағидалар мен жасайды."
嗰位醫生係兒童疾病嘅專家。,The doctor is a great authority on children's diseases.,Бұл медициналық медицинаның тұжырымда.,Өзiмiкiнiң болмасын болмайды.
個委員會係由科學家同工程師組成嘅。,The committee consists of scientists and engineers.,Бұл үшін наурыз және инженернің өзарамен таныстырылған.,ҚазАқпарат - Наукалық және инженерлық комиссиясы.
你噉嘅諗法有冇根據㗎？,Do you have any grounds for thinking so?,Бұл қағидалар мен қаһарманның қаңтармен қауымдастырылған?,Қазіргі уақытта өңдеуге ұсынады?
喺呢種情況之下，我地冇辦法成功。,"Under such circumstances, we cannot succeed.",Bu barədə məlumatlar yazdıq.,"Қазіргі уақытта, Менің өзекті қағидалармен таныстырылған."
嗰兩個人偷偷地入咗間屋，俾人見到咗。,The two men were seen to steal into the house.,İki nəfər gizlice evə girdi və qəlbində gözləyir.,"İki nəfər gizlice evə girdi, şübhəsiz ki, insanlar qızı görürlər."
個Party一啲都唔好玩嘅。,I didn't enjoy the party at all.,Бұл қазір не қанаққалы.,Қандай-ақ партиялық қағидалар жоқ.
消息逐漸傳開去。,The news spread little by little.,Les nouvelles se diffusent progressivement.,Les nouvelles s’ouvrent progressivement.
條裙你買咗幾多錢呀？,How much did you pay for the dress?,Қаншама қанаққа қалың?,"Қандай келдім, кейде кетеді?"
我阿媽嗰陣仲後生過我。,"At that time, my mother was younger than I am now.",Менің қазір менің тіпті көреп отыр.,Содан соң менің соңынан қайырымды.
你唔使擔心。,You don't need to worry about it.,Vous ne vous inquiétez pas.,Vous ne vous inquiétez pas.
唔該話我知個遊戲嘅玩法。,Tell me how to play the game.,Бұл қазір мен қағидалар мен ұзақтығымен таныстырып.,Қандай-қаттық қағидалармен айналды.
你可唔可以帶我去呀？,Will you take me there?,Tu peux me prendre ?,Tu ne peux pas m’emmener ?
企喺度嗰個邊個嚟？,Who is standing there?,Бұл үшін бір-бірінен бір қағидалар бар?,Қазіргі уақытта бір-қатынас тағайындалған?
我太早到。,I arrived there too early.,Je suis arrivé trop tôt.,Je suis arrivé trop tôt.
你最好行路去。,You'd better go there on foot.,Kamu sebaiknya jalan.,Nejlépe jdete na cestu.
嗰度都唔係人住嘅。,You'll find it impossible to live there.,Бұл қазір не күшкен.,Қазіргі уақытта қазір не айтылады.
你喺嗰度做咗啲咩呀？,What did you do there?,Vous êtes certainement en entreprise ?,Bạn có thể làm kinh doanh không?
我唔覺得係。,"No, I don't think so.",Менің қазір жоқ.,Je ne pense pas à l’agent.
我唔覺得係噉。,"No, I don't think so.",Менің қазір не айтылады.,Je ne pense pas qu'il s'agisse.
可以話係，亦都可以話唔係。,Yes and no.,"Қандай, қазір не айтасыз.","Қандай-қатты қағидалар бар, деп хабарлады."
你有冇喉糖呀？,Do you have cough drops?,Бұл қазір шетелдік бар?,Vous avez du sucre dans la gorge ?
唔好意思呀，我想問地鐵站點去呀？,"Excuse me, but could you tell me the way to the station?","- Không biết, tôi muốn hỏi vị trí tàu điện ngầm đi sao?",地下鉄駅で行きたいのか?
可唔可以較細聲啲部收音機呀？,Would you mind turning down the radio?,Бұл қазір қанаққалы қағақтар бар?,Қазіргі уақытта радиодан тұрады?
唔好意思，你可唔可以講多次呀？,"I'm sorry, could you repeat that please?","Non, tu ne peux pas parler plusieurs fois ?","Non, tu ne peux pas parler plusieurs fois ?"
唔好意思，我而家好忙呀。,"I'm sorry, I'm busy right now.","Inte bra, jag och huset är mycket upptagen.","Non, je suis très occupée chez moi."
唔好意思，我蕩失咗路。,"Excuse me, I'm lost.","Менің қазір, мен қаңтар мен құбырды.","Не күлеріңді, мен салыстырға болады."
坐喺角落頭嗰個男人係邊個嚟㗎？,Who is the man sitting in the corner?,Бұл қазір мен қаңтар мен жастарды қазанды?,Қазіргі уақытта өңдеуге ұзақ уақыт бойы жасайды?
有五分四嘅會員反對呢個計劃。,Four-fifths of all the members were against the plan.,5 4 қазандық қағидалар мен қаһармандық идеялар бар.,Қаланың 5 – 4 депутаттарға айтылады.
西班牙人最鍾意夜晚出街散吓步、唞吓涼。,Spaniards love to stroll around in the evening cool.,"Người Tây Ban Nha nhất định đêm ra đường đi đi đe dọa, đặc biệt đọa.","Les Espagnols sont les plus heureux de sortir la nuit dans les rues, terrifiés, particulièrement effrayés."
識返啲西班牙文嘅話，你去墨西哥實會玩得開心啲。,A little knowledge of Spanish will go a long way toward making your trip to Mexico enjoyable.,"Бұл қазір, «Мексико» деген әзірлеуге қарап отыр.","Өзiлiкiшiмдiнiң әсiрiпiгiттiз, мiндемiс кiндi."
超速駕駛好危險㗎。,Driving too fast is dangerous.,Hyvin nopean ajamisen vaara on hyvä.,La conduite à grande vitesse est dangereuse.
你揸得太快喇。,You're driving too fast.,Tu es sûre que tu vas trop vite.,Du kommer säkert att bli för snabb.
邊度有得買零食呀？,Where can I buy snacks?,Måste man köpa smörgåsar?,Est-ce qu’il faut acheter du petit-déjeuner ?
我覺得好大壓力。,I'm feeling stressed.,Je ressens une grande pression.,Je ressens beaucoup de pression.
喊都無謂啦。,There's no use crying over spilt milk.,Әдеп кепiмiңiнiп.,叫びは無し。
已經過咗廿年喇。,Twenty years already passed.,20 жылдан кейінгі қарап отыр.,Қазіргі уақытта 20 жылға дейін.
我真係好肚餓。,I am terribly hungry.,Je suis vraiment faim.,J’ai vraiment faim.
我餓死喇。,I am terribly hungry.,Менің жасық жасайды.,Je meurt de faim.
呢啲煙花真係好靚呀！,These fireworks are spectacular!,Бұл қазір қанаққалы қалыңды!,Өзiмiкiздiпiшiгiнiлiтiң бiрi!
你好快就會學識游水㗎喇。,You'll soon be able to swim.,Өзiңiмiнiкiздiпiшiгiтiрiсiддттстккггaт.,Қазіргі уақытта бас табылған адамды құттықты бар.
你好快就會開始鍾意佢㗎喇。,You will soon get to like him.,Қазіргі таңда сіздің қағидалар мен қаһарманға болады.,Қазіргі уақытта сіздің қағидалар мен құбырлармен танысуға болады.
你唔使趕住答。,You don't have to answer quickly.,Не күлеріңді білмейді.,Tu n’as pas laissé la réponse.
你都係快啲去瞓啦，如果唔係啲感冒就會愈嚟愈勁㗎啦。,"You had better go to bed right away, or your cold will get worse.","Қазір бұл жарыққа да, бұл қазір мен жастарды да көптеген жарымыз.","Қандай-ақ, қадақтар мен жарықтардан тұрады, деп ойлаймын."
就嚟到朝頭早嘅繁忙時段喇，我哋仲唔行就塞車㗎喇。,"If we don't hit the road soon, we'll get caught in the morning rush hour traffic.","Өзiмiнiң қанақiпiз, қатақип, жарықiкiгiшiлiрi, әсiтiс жаңтарi.","Қандай-ақ, қаңтарда қанақтардан тұрады, деп ойлаймын."
你好快就會適應呢種新生活㗎喇。,You will soon adapt yourself to this new life.,Өзiңiмiнiкiздiпiшiгiтiддттдaтaдeiлiрiсii,Қаланың тұрақты тұрғындарының саны 1 адамды құрайды.
我係咪一定要即刻去呀？,Must I go there at once?,Måste min vän gå direkt?,Mon père doit-il partir tout de suite ?
你鍾意攞幾多就攞幾多。,Take as much as you like.,Қазір бұл көптеген жылдардан да көп.,Қазіргі уақытта тыныстық қарым-қатынас келдім.
飲湯唔好飲到𠽌𠽌聲。,Do not make a noise when you eat soup.,Қайтақтың жарыққа жатады.,Өзiмдiкiнiгiттiпiшiлiсiңiрi.
而家啲超級市場閂晒門㗎喇，我哋惟有攞雪櫃淨返啲嘢嚟用啦。,"The supermarkets are now closed, so we'll have to make do with what is left in the refrigerator.","Өзiмiнiң өнерінің өзара өңiрiпiкiлiшiгiздi, әсiндеггтiддттсптдсстнтг",Қаланың тұрақты тұрғындарының саны 1 адамды құрайды (оқымды) құрамды.
阿 Susan 煮嘢食好叻㗎。,Susan is a good cook.,Бұл қазір менің қанаққалы.,Өтiмiкiзiнiпiшiлiңiгiдiсiрi.
Susan爲咗表示佢好嬲，特登打爛咗個碟。,Susan broke the dish on purpose to show her anger.,Бұл қағидалар мен қаһарманның дағдырыстырды.,"Әдебiмдiкiзiлiң бiрiшiгiтiпiнiсiвiхi,i."
唔好意思呀，我想問吓呢條路去唔去到地鐵站㗎？,"Excuse me, but is this the right way to the subway station?","Бұл, бұл, ол, бір жылдан кейін, кейде неге келдім?","Қандай-ақ, мұндай қағидалар мен құттықты бар? – деп ойлаймын."
瑞士人多數識講三、四種語言。,Most Swiss people can speak three or four languages.,Les Suisses parlent en général trois ou quatre langues.,Die meisten Schweizer sprechen drei oder vier Sprachen.
瑞士啲人講咩話㗎？,What language do they speak in Switzerland?,Les Suisses parlent-ils de la même chose ?,Est-ce que les Suisses parlent ?
請問你想要單人房定係雙人房呀？,Would you like a single or a double?,Бұл қазір мен қағидалар мен салыстырдың қасымды?,Қазіргі уақытта бір-қатынас тағайындалды?
阿 Jill 已經同佢啲朋友煲咗兩個鐘電話粥喇！,Jill has been on the phone with friends for more than two hours!,"Бұл қазір, бұл қағидалар мен қаһарманның 2 жылға дейін ұлыды!",Өзiмдiкiшiлiгiнiпiз дiрiсiң бiттiвiнгi!
阿John好肥，跑唔得快。,John is too fat to run fast.,"Аяққалы, қазір қаптасың не күш.",アジョンは太りすぎて、速く走らない。
阿 John 最近肥咗好多。,John has put on a lot of weight recently.,Бұл жануарларда көптеген жылдар бойы жасайды.,ジョンは、最近、とても肥満です。
阿 John 問阿 Mary 晏晝一唔一齊去行街。,John asked Mary whether she would like to go shopping in the afternoon.,Алдыңғы мақалалар мен мағаннан кейін мағынатын айтады.,"Әйтсе де, «Мария» деп ойлаймын."
阿 John 喺個台度唱咗啲咩歌呀？,What did John sing on the stage?,Бұл жануарлар мен жандарлармен ал?,Бұл жануарлар мен жандарлар бар едім?
詹森先生突然間改變主意，簽咗份合約。,Mr Johnson suddenly changed his mind and signed the contract.,"Г-н Дженсон внезапно изменил свое мнение, подписал договор.","Г-н Дженсон внезапно изменил свое мнение, подписал контракт."
我講啲嘢俾你聽吖。,Let me tell you something.,"Je vous le dis, vous avez entendu.",Je te dis que tu as bien entendu.
阿Jim嘅英文好過佢班上嘅其他同學仔。,Jim is above any of his classmates in English.,Бұл қазір менің қағидалар мен қаһарманның қауымдастырды.,Әдепiлiкiнiзiмiгiшiрiсiңiдiптiвiнгi.
阿 Jim 好努力做嘢，但係人工就唔係好高。,"Though Jim works very hard, his job does not pay very much.","Бұл үшін бізге ұлыстыр, бірақ, біз бір-бірімен ұрпаққа ұлғайған.",«Жеңір» АҚШ-ның ең көне ұзақ уақыт бойы жасайды.
俾我諗陣先。,Let me think for a while.,Менің қазір мен қасымда.,J’aimerais bien aller d’abord.
我哋不如唞陣先啦。,Shall we take a short rest?,Jag är nog bättre än att vara i första hand.,Je suis sûrement mieux qu’avant.
過咗一陣，嗰個人就走咗入間房度。,"After a while, the man came into the room.","Қазір бұл жерде, бұл адамға да салыстырды.",Қаланың тұрақты тұрғындарының саны 1 адамды құрайды.
悉尼噶空气比东京噶干净。,The air of Sydney is cleaner than that of Tokyo.,Sydney nói không khí sạch hơn Tokyo.,Sydney cho biết không khí sạch hơn Tokyo.
單身嘅人有更加大嘅自由去選擇自己想做嘅事，社交唔使處處受到束縛。,Single people enjoy more freedom to do what they want and enjoy living a less restricted social life.,"Бұл жерде бұл жерге қарастырылған, бұл да бір жердің жерді қарап, басқа да жерден білмейді.",«Жеңір» АҚШ-ның «Құқсат» және «Карпат» бағдарламасына көшіру керек.
但係佢好好彩。,But he was lucky.,Бұл қағидалар мен қаһарман.,Mais c’est bon pour lui.
阿 Jane 係一個有咩就講咩嘅人。,Jane calls a spade a spade.,Бұл жан-жүктес қанаққалы қалыңды.,Алдыңғы қағидалардан тұрады.
阿 Jane 有好多衫要洗。,Jane has a lot of clothes to wash.,Jane har många byxor att tvätta.,Jane có rất nhiều áo để rửa.
你仲有冇嘢問呀？,Do you have any further questions?,Ауыздан да да салыстыр?,Vous avez des questions particulières ?
跟住又有三個人上咗架巴士。,Three more passengers got on the bus.,Ауыздан 3 адамды баспалық баспас.,Ümumilikdə 3 nəfər yolculuğa çıxıb.
更加正嘅係間屋仲有一個好靚嘅花園。,What is still better is that the house has a beautiful garden.,Бұл үшін бір жылдан тұрады.,Қаланың тұрақты тұрғындарының саны.
我要同你講拜拜喇。,I must say good-bye to you.,Менің қазір менің жарыққа дағдырымыз.,Aku akan berdoa denganmu.
你想去野生動物園就搭五號巴士啦。,"If you are going to the safari park, take the No.5 bus.",Om du vill åka till djurparken tar du buss nr 5.,"Chcete-li jít do divokého zoo, jezdí autobusem č. 5."
唔好俾啲差佬發現你有槍喺身。,Don't let the cops find a heater on you.,"Бұл үшін, ол тазалықты ұзақтығы ұлылымыз.",Không có gì đáng ngạc nhiên khi bạn thấy mình có một khẩu súng.
踩單車係好好嘅運動，仲唔會排放廢氣添。,"Cycling is good exercise. Moreover, it doesn't pollute the air.","Өзiңiздiкiмiнiпiшiгiлiтiiддттeiсiрi,i.i","Өзiрiмiздiкiгiшiлiнiпiсiтiң кiвiнгiнеi,i."
入嚟啦！,Come on in!,Қазір қазір!,Қазіргі уақытта!
喂，起身喇。,"Come on, get up.",Өзiңiмiкiздiпiшiнi.,こんにちは、立ち上がり。
快啲啦，你仲慢吞吞噉我哋就遲到㗎喇。,"Come on, we'll be late if you don't hurry up.","Қандай, менің қазір мен қаңтар мен жастарды.","Қандай-ақ, менің қанақтар мен ұзақтығы мен жасайды."
聽講話你病咗喎。,I hear you have been sick.,"Әдеп, бұл қағидалар мен қаһарманның қауымдастырды.",Dengarkanlah kata-kata yang kamu sembuh.
你得閒嗰陣嚟飲杯茶吖。,Why don't you drop in for tea at your convenience?,Өзiңiмiнiкiздiпiшiгiтiлiрiсiдтт.,Қазіргі уақытта тыныстық тазасы бар.
你最好唔好喺嗰啲地方度行嚟行去。,You had better not walk around in such a place.,Sizə yerdə yerə çıxmaq daha yaxşıdır.,Lebih baik kamu tidak pergi ke tempat yang tepat.
我唔知會搞到你咁麻煩。,I had no idea it would put you to so much trouble.,Je ne sais pas si je vais te faire du mal.,Je ne sais pas si je vais vous faire du mal.
我喺度搵緊我副隱形眼鏡。,I'm looking for my contact lens.,Je suis certainement particulièrement touché par mes lunettes de couverture.,Je suis certainement particulièrement touché par mes lunettes de couverture.
我淨係知咁多嘅唧。,Beyond this I know nothing.,Менің қазір менің жарыққа да айтылады.,Mən çox şey bilirəm.
呢個係咪你親手縫㗎？,Did you sew this by hand?,Бұл қазір мен қасымда қана?,Қазіргі уақытта тының қанағаттанды?
睇到呢個，我就會諗起媽咪。,I remember my mother when I see this.,"Бұл қазір менің қасымда, мамаға да бар.",見てみると、お母さんに喜びます。
呢啲樹係佢哋種嘅。,These trees were planted by them.,Бұл қағидалар мен қаһарманның қауымдасы.,Қазіргі уақытта өңдеуге қарастырылған.
啲書邊個㗎？,Whose books are these?,Бұл тек тек қанаққа?,Қазіргі уақытта бір-бірінен айналды?
將呢啲物質撈埋一齊好危險㗎。,The mixture of these substances is dangerous.,Bu barədə məlumatlar açıq-aydın verilmişdir.,"Belə ki, bu təhrizlər ciddi ciddi risklər ilə bağlıdır."
將呢啲生字寫落你本簿度吖。,Write these words in your notebook.,Kitabın yazdığı kitabın kitabı sizə yazıb.,Bu kitabı sizə yazdırabilirsiniz.
呢啲古老嘅習俗都係一代一代噉傳落嚟嘅。,These old customs have been handed down from generation to generation.,Бұл қазір мен қаңтарда қанағаттанды.,Қаланың тұрақты тұрғындарының саны 1 адамды құрайды.
呢啲習俗同我哋國家唔同。,These customs differ from those in our country.,Бұл қазір менің қағидалар мен қаһарманның қабығы.,Mənim özümdə bir millət deyil.
邊有咁大隻蛤乸隨街跳呀？,This is too good to be true.,"Қандай да, бұл жерде да салыстыр?",Қазіргі уақытта мұндай саудасы бар?
呢本係書。,This is a book.,Бұл тек тек.,Bu kitabın
𡀲係書。,This is a book.,Бұл тек тек.,Қазіргі уақытта.
佢就係喺呢間屋度出世㗎喇。,This is the house he was born in.,Қазір бұл жерде де ұрпаққа да айтылады.,Қаланың тұрақты тұрғындарының саны 1 адамды құрайды.
呢條係一條好深嘅數學題。,This is a difficult math problem.,Бұл да көптеген математикалық проблемасы бар.,Қазіргі уақытта бұл математикадан тұрады.
呢朵係成個花園最靚嘅花。,This is the most beautiful flower in the garden.,Бұл қазір ең жақсы салықты бар.,Қазіргі уақытта салыстырдың ең үздік цвету.
呢個袋邊個架？,Whose bag is this?,Қандай бір бір бар?,Қандай келдім?
呢個會好緊要㗎，你唔好唔嚟呀。,This is a very important meeting. You ought not to miss it.,"Tu vas bien te rappeler, tu ne peux pas.","Vous allez bien vous rappeler, vous n'avez pas du mal."
呢把遮唔係我㗎，係人哋㗎。,This isn't my umbrella; it's somebody else's.,"Менің қазір, менің жарып, қазып.","Қандай, менің қағидалар мен өңдеу."
呢個係我見過最靚嘅景。,This is the finest view I have ever seen.,Бұл қазір менің ең жақсы көне.,Қазіргі уақытта қазақстандықтың ең үздік.
呢隻錶我尋日買嘅。,This is the watch I bought yesterday.,Өзiмiң жасайды мен жастарды.,Қазіргі уақытта қайтарып кетеді.
呢樣唔係小事。,It's no small matter.,Бұл маңыздалық.,Не күлеріңді білмейді.
係畀你嘅。,This is for you.,Қазір бұл қазір.,Қазіргі уақытта өңдеу.
你可唔可以教我填呢份表格呀？,Can you tell me how to fill in this form?,Tu peux me faire remplir le formulaire ?,Kan du inte lära mig att fylla i formuläret?
呢隻雪糕好好味㗎，你試唔試少少呀？,This is very good ice cream. Won't you have some?,"Бұл жарыққа жапырақ, бұл жапты бар, не күте?","Өзiмдiпiнiкiлiшiгiсiңiрiтi,iiзздeмiвiбiге жасайды?"
呢個你可以自己keep返。,You can keep this one for yourself.,Қазір қайтарып берген.,Vous pouvez retourner vous-même.
呢把遮係咪你㗎？,Is this your umbrella?,Бұл қазір мен қасымда?,Қазіргі уақытта қайтарып кетеді?
呢支就係我尋日整唔見嗰支筆喇。,This is the pen that I lost yesterday.,"Қандай-ақ, бұл күнге дейін аз да не күшкен.","Қандай-ақ, бұл күнге қарастырып келдім."
呢個係我嘅公司地址。,This is my business address.,Біздің компанияның адресы.,Қазіргі таңда компанияның адресы.
呢間就係我哋舊年住嗰間酒店喇。,This is the hotel where we stayed last year.,"Бұл жылдан кейінгі оданды, бұл жылда оларды да салысты.",Қазіргі таңда бүкіл әлемде өте көп айтылады.
我唔知由而家開始我要做乜。,I don't know what to do from now on.,Jag vet inte varför jag ska börja jobba.,Jag vet inte varför jag ska börja göra affärer.
我保證我以後都會準時㗎喇。,"From now on, I promise to be punctual.","Mən bu barədə xəbərdarlıq edirəm ki, bundan sonra da bu cür bir şey olacağım.",Mən bundan sonra hər şeyin yarı saatdə olacağını garanti edəcəyəm.
我由而家開始唔會再講大話㗎喇。,I will never tell a lie from now on.,Өзiмiң қанақiнiкiздiпiшiгiлiддтiттдeмдaмтeндoм,Ауыз ішінен қайта өңдеуге қарап отырмыз.
我哋以後要保持聯絡呀。,"From now on, let's keep in touch.",Je vais certainement rester en contact plus tard.,Jag kommer säkert att hålla kontakten senare.
Blake 葬喺呢間教堂。,This is the church where Blake is buried.,Бұл жерде айтылады.,Өткен керемет келдім.
你知唔知佢哋係邊個？,Do you know who they are?,Бұл қазір қандай да бір қағидалар бар?,Қазіргі уақытта қазақ тілінде не айтылады?
哥爾夫球好好玩㗎。,Playing golf is great fun.,Golf är ju kul.,ゴルフボールが面白い。
雖然啲猩猩唔識開口講嘢，但係佢哋可以用其他方法同人類溝通。,"Gorillas cannot use their lips and tongues to speak, but they can communicate with people in other ways.","Meskipun orang gorila tidak tahu berbicara terbuka, namun orang tersebut dapat berkomunikasi dengan manusia dengan cara lain.","Embora os chimpanzés não conheçam a fala aberta, eles podem se comunicar com a humanidade por outros meios."
可唔可以麻煩你閂咗個窗佢呀？,May I trouble you to shut the window?,Kan du inte störa dig med att få ett fönster?,Tu ne peux pas t'inquiéter de la fenêtre ?
我會處理呢個問題。,I will deal with this problem.,Je vais traiter un problème.,Je vais traiter un problème.
呢條問題啲答案全部錯晒。,All the answers to this question were wrong.,Бұл проблемасы да да салыстырды.,Les réponses à toutes les questions sont fausses.
呢本書對你嚟講可能難咗啲。,This book is too difficult for you to read.,Bu kitabın sizin üçün çox faydalı olmasını bilirsiniz.,Bu kitabı sizə təhriz etmək mümkündür.
呢本書好深，一個禮拜好難睇得晒。,This book is too difficult to read in a week.,Bu kitabın bir neçə il ərzində bir dəfə də görüb.,اُن ڪتاب کي چڱي طرح مُقرّر ڪيو ويو آهي.
我覺得呢本書好有趣。,I found this book interesting.,Je pense que ce livre est très intéressant.,Je pense que ce livre est très intéressant.
呢本書值得一睇。,This book is worth reading.,Ce livre vaut la peine de voir.,Ce livre vaut la peine d’être vu.
呢啲書唔拎得走㗎。,You can't take away these books.,Бұл тек тек қанақтарда не айтасыз.,Bu kitablar heç vaxt yazılmayıb.
我肯定呢本書會對你好有用。,I am sure this book will be of great use to you.,Je suis sûr que ce livre vous sera utile.,Jag är säker på att boken kommer att vara bra för dig.
呢本書每一句句子都好重要。,Every sentence in this book is important.,Chaque phrase de ce livre est très importante.,Chaque phrase de ce livre est très importante.
你可唔可以幫我喺呢本書度簽個名呀？,Could I have your autograph on this book?,Бұл тек тек қанақтық-қатынас тағайындалған?,Tu ne peux pas m’aider à signer ce livre ?
呢頂帽都幾襯我噃。,This hat suits me nicely.,Менің қазір мен қасымда қанаққа.,Өзiмiрiң шетелiкiн бiлiгiпi.
呢頂帽係咪你㗎？,Is this hat yours?,Бұл қазір мен қасымда?,帽子は好きですか?
我由今朝開始就一路喺度打呢份報告書，但係到而家都淨係打咗一半。,"I have been typing this report since this morning, but I'm only halfway through.",Өзiңiмiнiкiздiгiшiпiлiрiсiтiддттeггтсeнтлeтдeмтзeлтнeдсстaтмдaзткaдлaнaлл,Қазіргі таңда бүкіл әлемде өте көп айтылады.
呢度附近有無加油站㗎？,Is there a gas station around here?,Avez-vous des stations de carburant sans carre ?,Finns det ingen bensinstation i närheten?
你有冇喺附近見過一個啡色銀包？,Did you see a brown wallet around here?,Har du sett en nyfärgad silverpaket?,Avez-vous déjà vu un paquet d’argent coloré à proximité ?
呢句句子個「get」字係咩意思呢？,"What does the word ""get"" mean in this sentence?",«Аяқ» қағидалар мен «Жеңір» деп хабарлады?,«Құқсат» қағидасы қандай?
呢個故仔嘅女主角係一個細路女。,The heroine of this story is a little girl.,Жүктеудің өзара қанағаттанды.,Қазіргі уақытта маңыздалық дағдарыстамыз.
呢條裙都幾靚喎，可唔可以試著㗎？,I like this skirt. May I try it on?,- Mặc quần áo thì có thể thử không?,"Det är så många klänningar, men kan man inte prova?"
呢間房裏面有部電視機。,There is a television in this room.,Бұл телекоммуникациялар бар.,部屋の後ろには電視機があります。
呢間房細得濟喇，裝唔落五十個人。,This room is too small to contain 50 men.,Қаланың тұрақты тұрғындарының саны 50 адамды құрайды.,Қаланың тұрақты тұрғындарының саны 50 адамды құрайды.
呢間房唔俾食煙㗎。,You may not smoke in this room.,Бұл қазір не күшкен.,たばこを食べない部屋です。
呢間房唔俾食煙。,You cannot smoke in this room.,Бұл қазір кірiмiнiң неiзiгi.,室内では喫煙はしない。
呢塊布摸上手好滑。,This cloth feels smooth.,Өзiңiз қанақiпiкiнiмi.,Қазіргі уақытта өңдеуге қарастырылған.
呢個箱裏面裝滿晒蘋果。,This box is filled with apples.,Бұл жерде одан да салықты жарыққа да бар.,Қазіргі уақытта өңдеуге айналды.
兩者之間冇乜分別。,There is not much difference between the two.,İkisi arasında çox ayrılıq var.,İkisi arasında ayrılıq var.
今個秋天冇我哋想像中落咁多雪。,We had less snow this winter than we had expected.,I höst kan jag nog tänka mig hur mycket snö som faller.,I höst kan jag förmodligen föreställa mig hur mycket snö.
聽講今個冬天係呢十年嚟最凍嘅冬天喎。,I hear this is the coldest winter we have had in the past ten years.,Бұл жылдан кейінгі жылда бір жылға дейін жарыққа жастырады.,ҚазАқпарат – 10 жылдан ең жарықша зималардан тұрады.
呢部電話壞咗。,This telephone is out of order.,Әдеп телефонға айтылады.,Қазіргі уақытта телефонға айтылады.
呢間舖頭九點閂門。,This store is closed at nine.,Қаланың 9 жылдан кейінгі қанағаттанды.,Қаланың тұрақты тұрғындарының саны 9.
呢間舖頭啲壽司好好食。,The sushi at this shop tastes good.,Өзiңiздiкiнiмiгiшiпiлiтiддттeiрi.,Қазіргі уақытта өңдеуге болады.
你知唔知呢個字點解呀？,Do you know the meaning of this word?,"Қандай, бұл идеялар да бар?",Ауымда қанағаттан тұрады?
我唔識呢個字。,I don't understand this word.,Менің қазір не айтылады.,Je ne connais pas les mots.
呢條村啲嘢平過我哋條村好多。,The things in this village are cheaper than those in ours.,Бұл жерде де ұзақ уақытқа дейін ұсынады.,"Қандай-ақ, бұл жерде өте көп айтылады."
將呢條線分做二十個等分。,Divide this line into twenty equal parts.,Қазіргі таңда 20 жылдан кейінгі ұзақтығы.,Қаланың тұрақты тұрғындарының саны 20 адам.
呢條河有一咪闊。,This river is one mile across.,Бұл қазір қағидалар бар.,Қазіргі уақытта айтылады.
呢張係一張免費飛。,This is a free ticket.,Бұл әңгімелер ұзақ уақытқа дейін.,Үздік ескерткішiнiкiгiзi.
呢間圖書館有冇英文雜誌㗎？,Are there any English magazines in this library?,Бұл қазір мен қаңтарда қанаққалымыз?,Қандай-ақ іс-әрекеттік журнал бар?
呢個公仔係咪你自己整㗎？,Did you make this doll by yourself?,Бұл қағидалар мен қаһарманның қасиеттері?,Ауымда қанақтар мен салыстыр?
呢個消息係唔係真㗎？,Is this information right?,Бұл қағидалар мен қаһарманның қасиеттері бар?,Қазіргі уақытта бір-қатынас қағидалар бар?
呢個女仔邊個嚟㗎？,Who is this girl?,Бұл қазір бір-бірімен бір?,Қазіргі уақытта маңызы бар?
天氣咁熱，要戴返頂帽先好出街呀。,Don't go out in this heat with a bare head.,"Өзiмiнiң жарықi, қазір шағын кешiлiпiш кiздiкiгi.","Thời tiết nóng, phải mặc cái mũ đầu tiên ra đường."
你今個禮拜六日得唔得閒呀？,Are you free this weekend?,Бұл шеңдеп шешіне де ұлыстыр?,Vous n’avez pas besoin de 6 jours ce week-end ?
張相係佢影嘅。,The picture was taken by him.,Бұл қағидалар мен қаһарманға болады.,Қазіргі уақытта өңдеу.
你介唔介意我攞呢本字典去用呀？,Would you mind my using this dictionary?,Бұл тек тек қазір менің қанаққа қапта?,Tu n'as pas l'impression que je peux utiliser ce dictionnaire ?
呢本字典雖然好貴，但係都係值得買嘅。,"This dictionary is very expensive, but is worth buying.",Бұл қағидалар мен қаһарманның қаңтармен қауымдастырылған.,"Bu sözlük yaxşı olsa da, hər şey satın alınmaya layiqdir."
關於呢件事，等佢下次嚟我會話佢知㗎啦。,I will tell him about it when he comes next time.,"Бұл үшін, бұл жерде де айтқанда, онымен келдім.",Қазіргі таңда бүкіл әлем қаржылық дағдарыста.
呢隻錶要攞去修理喇。佢每日都會快廿分鐘。,This watch needs repairing. It gains 20 minutes a day.,"Бұл қазір, бұл күнге дейін 20 минутға дейін өтінеміз.",Қаланың тұрақты тұрғындарының саны 20 адамды құрайды.
呢隻手錶有防震功能。,This watch is shock-proof.,Le montre a une fonction anti-terreur.,O relógio tem uma função anti-terrorismo.
我諗住送呢隻錶俾你。,This watch is meant for you.,"Менің қазір, қаңтар мен қазыққа қазанды.",Қаншама қасиетті мен қанағаттанды.
唔好講呢件事俾阿爸聽。,Don't tell Father about this.,Бұл қағидалар мен қаһарманның қабығылар.,അപ്പന് കേള് ക്കാന് പറ്റില്ല.
